<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z008E0179	167.5	85.0	138.0	18.0	1.9
Z008E0180	207.5	115.0	160.0	16.0	3.7
Z008E0181	160.0	80.0	125.0	18.0	3.3
Z008E0182	200.0	135.0	114.0	14.0	2.0
Z008E0183	130.0	70.0	164.0	13.0	2.7
Z008E0184	160.0	85.0	152.5	14.0	3.4
Z008E0185	175.0	105.0	99.5	14.0	1.85
Z008E0186	170.0	85.0	126.0	10.0	3.3
Z008E0187	160.0	70.0	NaN	18.0	2.8
Z008E0188	165.0	95.0	123.0	NaN	2.3
Z008E0189	175.0	100.0	109.0	14.0	2.7
Z008E0190	200.0	120.0	NaN	14.0	4.4
Z008E0191	160.0	87.5	147.0	NaN	2.6
Z008E0192	210.0	135.0	118.0	12.0	2.1
Z008E0193	160.0	75.0	146.0	16.0	2.9
Z008E0194	180.0	105.0	118.0	14.0	2.6
Z008E0195	185.0	115.0	119.0	12.0	2.8
Z008E0196	155.0	85.0	145.0	14.0	3.1
Z008E0197	190.0	120.0	127.0	16.0	2.3
Z008E0198	NaN	NaN	NaN	NaN	NaN
Z008E0199	180.0	90.0	135.0	16.0	3.0
Z008E0200	185.0	107.5	110.0	14.0	1.7
Z008E0201	175.3846154	77.69230769	131.9090909	18.6	4.663636364
Z008E0202	NaN	NaN	115.1428571	14.0	1.933333333
Z008E0253	NaN	NaN	NaN	NaN	NaN
Z008E0261	NaN	NaN	NaN	NaN	NaN
Z009E0001	195.0	105.0	128.0	16.0	4.6
Z009E0002	170.0	85.0	117.0	14.0	3.2
Z009E0003	190.0	95.0	155.0	14.0	4.9
Z009E0004	165.0	80.0	160.0	14.0	5.0
Z009E0005	165.0	80.0	NaN	NaN	NaN
Z009E0006	200.0	105.0	195.5	13.0	4.55
Z009E0007	190.0	100.0	187.0	12.0	3.9
Z009E0008	185.0	70.0	NaN	NaN	2.8
Z009E0009	180.0	85.0	165.0	14.0	2.9
Z009E0010	185.0	100.0	146.0	14.0	4.4
Z009E0011	200.0	95.0	85.0	16.0	5.2
Z009E0012	150.0	80.0	140.0	14.0	2.7
Z009E0013	160.0	80.0	151.0	14.0	4.0
Z009E0014	170.0	95.0	85.0	16.0	3.3
Z009E0015	200.0	90.0	89.0	14.0	1.8
Z009E0016	200.0	110.0	176.0	12.0	6.1
Z009E0017	180.0	95.0	176.0	12.0	4.5
Z009E0018	165.0	75.0	NaN	NaN	NaN
Z009E0019	180.0	95.0	180.0	14.0	6.4
Z009E0020	200.0	120.0	NaN	NaN	3.6
Z009E0021	180.0	90.0	147.0	14.0	4.3
Z009E0022	180.0	80.0	190.0	16.0	4.4
Z009E0023	175.0	95.0	139.0	NaN	4.9
Z009E0024	NaN	NaN	NaN	NaN	NaN
Z009E0025	165.0	85.0	122.0	16.0	3.2
Z009E0026	200.0	95.0	NaN	NaN	3.4
Z009E0027	190.0	80.0	NaN	NaN	3.5
Z009E0028	185.0	85.0	NaN	NaN	NaN
Z009E0029	195.0	110.0	118.0	14.0	5.0
Z009E0030	185.0	85.0	NaN	NaN	NaN
Z009E0031	170.0	65.0	NaN	NaN	NaN
Z009E0032	185.0	100.0	NaN	NaN	NaN
Z009E0033	175.0	90.0	168.0	12.0	4.5
Z009E0034	200.0	125.0	NaN	NaN	3.05
Z009E0035	170.0	80.0	131.0	16.0	3.6
Z009E0036	185.0	95.0	NaN	NaN	3.3
Z009E0037	200.0	95.0	NaN	NaN	NaN
Z009E0038	185.0	100.0	NaN	NaN	2.7
Z009E0039	NaN	NaN	NaN	NaN	NaN
Z009E0040	200.0	110.0	151.0	16.0	4.0
Z009E0041	175.0	65.0	150.0	16.0	5.2
Z009E0042	175.0	90.0	109.0	16.0	3.4
Z009E0043	175.0	100.0	NaN	NaN	2.7
Z009E0044	200.0	115.0	168.0	12.0	3.7
Z009E0045	150.0	70.0	NaN	NaN	NaN
Z009E0046	175.0	90.0	125.0	12.0	3.6
Z009E0047	180.0	105.0	NaN	NaN	NaN
Z009E0048	200.0	80.0	NaN	NaN	5.1
Z009E0049	165.0	65.0	161.0	16.0	7.4
Z009E0050	185.0	90.0	121.0	12.0	2.3
Z009E0051	175.0	85.0	169.0	20.0	3.2
Z009E0052	190.0	90.0	130.0	16.0	4.7
Z009E0053	165.0	55.0	NaN	NaN	NaN
Z009E0054	185.0	100.0	NaN	NaN	NaN
Z009E0055	175.0	85.0	NaN	14.0	2.5
Z009E0056	180.0	75.0	180.0	14.0	4.3
Z009E0057	165.0	75.0	155.0	16.0	2.5
Z009E0058	165.0	70.0	126.0	12.0	4.3
Z009E0059	155.0	70.0	NaN	NaN	NaN
Z009E0060	185.0	110.0	NaN	NaN	3.1
Z009E0061	185.0	95.0	NaN	NaN	3.5
Z009E0062	195.0	110.0	132.0	16.0	3.5
Z009E0063	200.0	120.0	154.0	18.0	4.2
Z009E0064	160.0	80.0	101.0	12.0	1.9
Z009E0065	190.0	100.0	148.0	14.0	5.5
Z009E0066	200.0	130.0	132.0	18.0	3.0
Z009E0067	190.0	110.0	NaN	NaN	NaN
Z009E0068	175.0	95.0	183.0	10.0	6.2
Z009E0069	170.0	85.0	NaN	NaN	NaN
Z009E0070	150.0	90.0	147.0	14.0	2.0
Z009E0071	200.0	105.0	NaN	NaN	5.2
Z009E0072	185.0	85.0	133.0	16.0	3.7
Z009E0073	185.0	110.0	NaN	NaN	NaN
Z009E0074	170.0	90.0	136.0	14.0	3.2
Z009E0075	195.0	105.0	147.0	16.0	2.9
Z009E0076	180.0	90.0	161.0	12.0	5.6
Z009E0077	185.0	75.0	NaN	NaN	NaN
Z009E0078	165.0	70.0	126.0	14.0	3.3
Z009E0079	195.0	90.0	158.0	12.0	3.6
Z009E0080	165.0	90.0	NaN	NaN	NaN
Z009E0081	180.0	80.0	NaN	14.0	3.0
Z009E0082	190.0	105.0	109.0	16.0	4.5
Z009E0083	165.0	80.0	137.0	10.0	2.9
Z009E0084	200.0	100.0	NaN	NaN	5.2
Z009E0085	155.0	75.0	136.0	14.0	4.4
Z009E0086	155.0	85.0	NaN	NaN	NaN
Z009E0087	200.0	120.0	140.5	14.0	5.2
Z009E0088	140.0	80.0	NaN	NaN	2.7
Z009E0089	165.0	70.0	150.0	16.0	3.8
Z009E0090	180.0	95.0	135.0	10.0	2.8
Z009E0091	185.0	95.0	NaN	NaN	1.8
Z009E0092	190.0	110.0	166.0	14.0	3.8
Z009E0093	190.0	95.0	88.0	14.0	5.1
Z009E0094	180.0	85.0	128.0	14.0	4.2
Z009E0095	175.0	80.0	NaN	NaN	NaN
Z009E0096	180.0	115.0	111.0	16.0	4.6
Z009E0097	200.0	110.0	104.0	14.0	3.2
Z009E0098	180.0	95.0	130.0	14.0	3.1
Z009E0099	200.0	120.0	161.0	16.0	4.8
Z009E0100	165.0	80.0	NaN	NaN	3.8
Z009E0101	145.0	75.0	151.0	12.0	3.5
Z009E0102	170.0	90.0	NaN	NaN	NaN
Z009E0103	145.0	60.0	NaN	NaN	2.2
Z009E0104	200.0	110.0	147.0	14.0	3.7
Z009E0105	165.0	80.0	122.0	18.0	5.5
Z009E0106	200.0	115.0	130.3333333	14.66666667	4.033333333
Z009E0107	165.0	80.0	143.0	20.0	3.3
Z009E0108	185.0	85.0	NaN	NaN	NaN
Z009E0109	160.0	90.0	106.0	18.0	2.8
Z009E0110	170.0	95.0	NaN	NaN	NaN
Z009E0111	185.0	95.0	NaN	NaN	NaN
Z009E0112	185.0	120.0	NaN	NaN	NaN
Z009E0113	175.0	75.0	NaN	NaN	3.4
Z009E0114	170.0	90.0	NaN	NaN	NaN
Z009E0115	190.0	95.0	147.0	12.0	2.5
Z009E0116	195.0	90.0	131.0	12.0	3.2
Z009E0117	170.0	80.0	NaN	NaN	4.3
Z009E0118	175.0	90.0	141.0	16.0	4.3
Z009E0119	185.0	105.0	173.0	12.0	3.7
Z009E0120	170.0	85.0	NaN	NaN	NaN
Z009E0121	185.0	90.0	NaN	NaN	NaN
Z009E0122	180.0	100.0	96.0	NaN	2.8
Z009E0123	195.0	110.0	135.0	12.0	4.9
Z009E0124	175.0	100.0	NaN	NaN	NaN
Z009E0125	200.0	105.0	112.0	12.0	3.0
Z009E0126	170.0	85.0	NaN	NaN	NaN
Z009E0127	165.0	80.0	139.0	14.0	3.8
Z009E0128	150.0	70.0	NaN	NaN	NaN
Z009E0129	120.0	65.0	131.0	18.0	2.5
Z009E0130	200.0	110.0	142.0	12.0	3.5
Z009E0131	170.0	85.0	172.0	14.0	3.4
Z009E0132	150.0	100.0	142.0	16.0	2.8
Z009E0133	170.0	95.0	159.0	14.0	2.6
Z009E0134	190.0	105.0	123.0	16.0	2.4
Z009E0135	175.0	95.0	150.0	16.0	4.8
Z009E0136	175.0	85.0	138.0	16.0	3.0
Z009E0137	170.0	75.0	NaN	NaN	NaN
Z009E0138	185.0	90.0	148.0	14.0	3.6
Z009E0139	185.0	95.0	134.0	14.0	2.9
Z009E0140	170.0	85.0	NaN	NaN	2.6
Z009E0141	175.0	90.0	NaN	NaN	NaN
Z009E0142	160.0	70.0	157.0	12.0	3.4
Z009E0143	190.0	100.0	NaN	NaN	NaN
Z009E0144	175.0	95.0	182.0	12.0	7.8
Z009E0145	155.0	85.0	NaN	12.0	2.6
Z009E0146	185.0	100.0	152.0	14.0	2.6
Z009E0147	200.0	125.0	147.0	16.0	3.8
Z009E0148	180.0	95.0	126.0	16.0	4.5
Z009E0149	185.0	85.0	NaN	NaN	NaN
Z009E0150	180.0	85.0	162.0	14.0	5.4
Z009E0151	200.0	105.0	199.0	14.0	6.2
Z009E0152	200.0	115.0	159.0	14.0	5.6
Z009E0153	180.0	100.0	157.0	14.0	5.45
Z009E0154	155.0	80.0	121.0	16.0	2.6
Z009E0155	155.0	55.0	160.0	14.0	4.2
Z009E0156	170.0	90.0	154.0	20.0	3.5
Z009E0157	195.0	115.0	NaN	NaN	3.4
Z009E0158	160.0	75.0	NaN	NaN	2.2
Z009E0159	200.0	95.0	165.0	16.0	4.0
Z009E0160	200.0	110.0	184.0	20.0	5.8
Z009E0161	170.0	80.0	192.0	12.0	4.8
Z009E0162	175.0	100.0	119.0	12.0	3.8
Z009E0163	175.0	95.0	165.0	16.0	4.0
Z009E0164	170.0	90.0	129.0	14.0	NaN
Z009E0165	185.0	95.0	188.0	12.0	5.8
Z009E0166	190.0	100.0	159.0	15.0	4.65
Z009E0167	195.0	NaN	NaN	NaN	2.2
Z009E0168	195.0	90.0	166.0	18.0	5.3
Z009E0169	170.0	95.0	158.0	16.0	3.4
Z009E0170	150.0	85.0	159.0	12.0	3.9
Z009E0171	180.0	80.0	NaN	NaN	2.7
Z009E0172	200.0	130.0	165.0	12.0	5.6
Z009E0173	165.0	85.0	135.0	18.0	4.3
Z009E0174	185.0	110.0	NaN	NaN	5.3
Z009E0175	195.0	115.0	144.0	16.0	4.7
Z009E0176	180.0	90.0	NaN	NaN	3.7
Z009E0177	170.0	85.0	137.0	14.0	5.6
Z009E0178	195.0	100.0	NaN	NaN	NaN
Z009E0179	180.0	70.0	164.0	16.0	5.2
Z009E0180	180.0	75.0	NaN	NaN	NaN
Z009E0181	150.0	85.0	111.0	14.0	3.8
Z009E0182	165.0	85.0	160.0	12.0	4.2
Z009E0183	160.0	85.0	107.0	18.0	2.7
Z009E0184	190.0	110.0	164.0	16.0	4.5
Z009E0185	195.0	100.0	137.0	12.0	3.0
Z009E0186	200.0	110.0	149.0	12.0	5.1
Z009E0187	165.0	105.0	NaN	16.0	3.5
Z009E0188	180.0	95.0	NaN	NaN	NaN
Z009E0189	160.0	95.0	NaN	NaN	2.8
Z009E0190	170.0	95.0	137.0	16.0	4.0
Z009E0191	165.0	80.0	157.0	14.0	4.3
Z009E0192	195.0	120.0	138.0	14.0	4.9
Z009E0193	175.0	90.0	NaN	NaN	NaN
Z009E0194	170.0	90.0	132.0	14.0	5.1
Z009E0195	190.0	95.0	NaN	NaN	NaN
Z009E0196	160.0	65.0	NaN	NaN	5.1
Z009E0197	180.0	95.0	159.0	16.0	3.6
Z009E0198	175.0	95.0	NaN	NaN	4.1
Z009E0199	200.0	130.0	112.0	16.0	4.0
Z009E0200	175.0	100.0	142.0	12.0	4.1
Z009E0201	183.0	89.0	148.8333333	19.0	4.23
Z009E0202	NaN	NaN	138.0	12.0	2.4
Z009E0214	NaN	NaN	NaN	NaN	NaN
Z009E0219	NaN	NaN	NaN	NaN	NaN
Z009E0223	NaN	NaN	NaN	NaN	NaN
Z009E0243	NaN	NaN	NaN	NaN	NaN
Z009E0257	NaN	NaN	NaN	NaN	NaN
Z009E0259	NaN	NaN	NaN	NaN	NaN
Z009E0266	NaN	NaN	NaN	NaN	NaN
Z009E0284	NaN	NaN	NaN	NaN	NaN
Z010E0001	160.0	90.0	172.0	16.0	5.5
Z010E0002	170.0	90.0	135.5	16.0	4.35
Z010E0003	165.0	80.0	NaN	NaN	NaN
Z010E0004	165.0	75.0	181.5	13.0	4.65
Z010E0005	175.0	100.0	NaN	15.0	3.9
Z010E0006	NaN	NaN	NaN	NaN	NaN
Z010E0007	195.0	85.0	171.0	16.0	6.0
Z010E0008	145.0	75.0	161.0	14.0	3.7
Z010E0009	120.0	55.0	138.0	16.0	4.2
Z010E0010	140.0	60.0	166.0	17.5	4.2
Z010E0011	120.0	35.0	161.0	15.0	4.8
Z010E0012	180.0	95.0	146.5	17.0	4.1
Z010E0013	150.0	65.0	158.0	16.0	3.2
Z010E0014	185.0	95.0	196.0	16.0	4.2
Z010E0015	170.0	65.0	94.0	14.0	5.8
Z010E0016	150.0	75.0	175.0	16.0	5.3
Z010E0017	145.0	75.0	134.0	14.0	2.8
Z010E0018	145.0	85.0	164.0	16.5	4.45
Z010E0019	130.0	55.0	159.0	NaN	3.1
Z010E0020	160.0	90.0	166.5	17.0	3.3
Z010E0021	195.0	100.0	119.0	12.0	4.05
Z010E0022	160.0	95.0	170.0	14.0	3.7
Z010E0023	NaN	NaN	NaN	NaN	NaN
Z010E0024	160.0	95.0	155.0	15.0	2.8
Z010E0025	165.0	85.0	132.0	NaN	3.4
Z010E0026	135.0	75.0	148.0	16.0	3.4
Z010E0027	175.0	100.0	165.0	16.0	3.8
Z010E0028	135.0	50.0	NaN	NaN	3.6
Z010E0029	NaN	NaN	161.0	12.0	3.8
Z010E0030	145.0	65.0	126.5	15.0	3.5
Z010E0031	200.0	120.0	163.0	16.0	4.3
Z010E0032	140.0	70.0	142.0	16.0	4.3
Z010E0033	170.0	100.0	193.0	12.0	3.9
Z010E0034	NaN	NaN	141.0	12.0	3.4
Z010E0035	150.0	65.0	150.0	14.0	2.3
Z010E0036	150.0	65.0	NaN	NaN	3.0
Z010E0037	115.0	60.0	162.0	18.0	4.8
Z010E0038	135.0	75.0	154.5	12.0	3.8
Z010E0039	160.0	90.0	183.0	12.0	3.6
Z010E0040	145.0	55.0	129.0	13.0	2.65
Z010E0041	165.0	85.0	140.6666667	15.66666667	3.45
Z010E0042	185.0	110.0	163.5	14.0	3.4
Z010E0043	140.0	80.0	159.5	14.0	3.95
Z010E0044	135.0	70.0	128.0	14.0	2.7
Z010E0045	165.0	95.0	93.0	14.0	5.0
Z010E0046	190.0	105.0	153.0	17.0	5.2
Z010E0047	170.0	80.0	158.0	20.0	2.65
Z010E0048	120.0	70.0	134.0	13.0	4.5
Z010E0049	130.0	60.0	117.0	14.0	4.1
Z010E0050	195.0	105.0	145.5	16.0	3.6
Z010E0051	150.0	70.0	163.5	14.0	3.05
Z010E0052	150.0	65.0	167.0	14.0	3.8
Z010E0053	185.0	90.0	147.0	NaN	4.2
Z010E0054	165.0	90.0	132.5	14.0	3.65
Z010E0055	140.0	NaN	NaN	NaN	NaN
Z010E0056	195.0	90.0	149.0	18.0	5.65
Z010E0057	110.0	55.0	162.0	12.0	3.5
Z010E0058	170.0	75.0	131.0	14.0	4.1
Z010E0059	150.0	80.0	152.0	14.0	3.9
Z010E0060	145.0	85.0	NaN	12.0	3.35
Z010E0061	180.0	90.0	189.0	NaN	2.7
Z010E0062	155.0	85.0	171.0	15.0	3.3
Z010E0063	150.0	70.0	152.5	14.0	3.4
Z010E0064	140.0	75.0	88.0	12.0	2.8
Z010E0065	175.0	75.0	138.0	17.0	2.1
Z010E0066	130.0	65.0	114.0	14.0	3.8
Z010E0067	150.0	90.0	153.0	12.0	2.9
Z010E0068	200.0	120.0	150.0	18.0	3.9
Z010E0069	145.0	70.0	178.0	NaN	NaN
Z010E0070	175.0	75.0	141.0	14.0	4.4
Z010E0071	180.0	90.0	NaN	18.0	2.7
Z010E0072	145.0	85.0	152.0	16.0	4.25
Z010E0073	145.0	65.0	136.0	18.0	3.9
Z010E0074	150.0	70.0	121.0	16.0	3.9
Z010E0075	160.0	70.0	165.0	18.0	3.6
Z010E0076	140.0	60.0	141.5	16.0	3.25
Z010E0077	140.0	70.0	146.5	19.0	3.65
Z010E0078	175.0	80.0	135.5	17.5	3.55
Z010E0079	170.0	95.0	87.0	17.0	6.2
Z010E0080	170.0	70.0	154.0	14.0	2.8
Z010E0081	190.0	100.0	139.5	15.0	4.05
Z010E0082	170.0	75.0	128.0	18.0	3.0
Z010E0083	115.0	65.0	NaN	18.0	2.7
Z010E0084	NaN	NaN	NaN	NaN	NaN
Z010E0085	180.0	90.0	113.5	13.0	5.8
Z010E0086	120.0	60.0	127.0	NaN	3.4
Z010E0087	180.0	100.0	115.3333333	NaN	4.45
Z010E0088	125.0	50.0	136.5	17.0	3.35
Z010E0089	145.0	70.0	150.5	14.0	2.95
Z010E0090	135.0	75.0	161.0	12.0	4.5
Z010E0091	130.0	60.0	163.0	14.0	4.2
Z010E0092	160.0	65.0	132.0	16.0	2.8
Z010E0093	160.0	95.0	160.0	14.0	4.0
Z010E0094	200.0	95.0	142.0	16.0	4.0
Z010E0095	145.0	100.0	150.0	NaN	2.7
Z010E0096	155.0	90.0	136.0	16.0	3.3
Z010E0097	175.0	100.0	113.0	14.0	3.55
Z010E0098	155.0	85.0	106.0	22.0	4.3
Z010E0099	NaN	NaN	NaN	NaN	NaN
Z010E0100	160.0	80.0	NaN	NaN	NaN
Z010E0101	155.0	70.0	112.0	16.0	4.8
Z010E0102	160.0	75.0	182.0	14.0	5.0
Z010E0103	NaN	NaN	NaN	NaN	NaN
Z010E0104	165.0	85.0	163.0	16.0	3.1
Z010E0105	165.0	90.0	118.5	15.0	4.95
Z010E0106	NaN	NaN	NaN	NaN	NaN
Z010E0107	145.0	55.0	125.0	14.0	3.4
Z010E0108	125.0	60.0	162.0	16.0	4.6
Z010E0109	155.0	85.0	161.0	14.0	4.1
Z010E0110	180.0	100.0	NaN	NaN	4.7
Z010E0111	170.0	80.0	95.5	NaN	4.65
Z010E0112	130.0	65.0	157.0	12.0	3.3
Z010E0113	155.0	80.0	121.0	16.0	3.8
Z010E0114	140.0	80.0	149.0	16.0	3.7
Z010E0115	155.0	110.0	153.0	NaN	4.2
Z010E0116	135.0	55.0	118.0	NaN	3.8
Z010E0117	140.0	60.0	142.0	12.0	3.8
Z010E0118	170.0	95.0	171.0	12.0	3.1
Z010E0119	155.0	80.0	157.0	18.0	4.1
Z010E0120	185.0	85.0	180.0	14.0	2.5
Z010E0121	135.0	75.0	NaN	NaN	NaN
Z010E0122	170.0	85.0	156.0	12.0	5.1
Z010E0123	115.0	65.0	148.5	14.0	4.2
Z010E0124	180.0	90.0	190.5	16.0	3.3
Z010E0125	155.0	75.0	147.0	16.0	3.5
Z010E0126	125.0	60.0	111.5	16.0	4.3
Z010E0127	160.0	100.0	162.0	12.0	NaN
Z010E0128	155.0	75.0	180.0	14.0	3.3
Z010E0129	125.0	65.0	NaN	NaN	NaN
Z010E0130	125.0	75.0	127.0	NaN	2.8
Z010E0131	145.0	95.0	167.0	18.0	3.9
Z010E0132	140.0	70.0	NaN	14.0	4.1
Z010E0133	140.0	65.0	143.0	16.0	2.6
Z010E0134	165.0	70.0	NaN	NaN	NaN
Z010E0135	175.0	85.0	169.0	18.0	4.8
Z010E0136	145.0	85.0	190.0	14.0	3.9
Z010E0137	110.0	50.0	140.0	15.0	2.5
Z010E0138	170.0	95.0	184.0	16.0	2.6
Z010E0139	90.0	30.0	144.0	15.0	3.7
Z010E0140	180.0	100.0	181.0	21.0	4.5
Z010E0141	NaN	NaN	NaN	NaN	NaN
Z010E0142	175.0	90.0	NaN	15.0	3.35
Z010E0143	NaN	NaN	NaN	NaN	NaN
Z010E0144	115.0	75.0	149.0	14.0	3.0
Z010E0145	150.0	70.0	149.0	14.0	4.2
Z010E0146	200.0	115.0	161.0	18.0	4.05
Z010E0147	190.0	95.0	171.0	16.0	4.1
Z010E0148	155.0	65.0	160.5	14.0	3.55
Z010E0149	NaN	NaN	NaN	NaN	NaN
Z010E0150	160.0	75.0	NaN	NaN	NaN
Z010E0151	140.0	55.0	94.5	16.5	3.3
Z010E0152	200.0	115.0	165.0	12.0	3.9
Z010E0153	150.0	65.0	163.0	14.0	4.3
Z010E0154	200.0	105.0	171.5	19.0	5.0
Z010E0155	140.0	70.0	110.0	16.0	3.9
Z010E0156	180.0	100.0	119.0	12.0	4.1
Z010E0157	130.0	70.0	139.0	13.0	3.55
Z010E0158	190.0	110.0	142.0	23.0	3.0
Z010E0159	175.0	110.0	NaN	14.0	2.9
Z010E0160	155.0	80.0	160.0	16.0	4.7
Z010E0161	150.0	85.0	145.0	14.0	3.0
Z010E0162	165.0	95.0	NaN	NaN	NaN
Z010E0163	175.0	85.0	149.0	14.0	4.25
Z010E0164	NaN	NaN	NaN	NaN	NaN
Z010E0165	145.0	60.0	137.0	16.0	2.9
Z010E0166	155.0	75.0	177.0	14.0	4.8
Z010E0167	155.0	70.0	173.0	12.0	4.4
Z010E0168	165.0	85.0	NaN	NaN	NaN
Z010E0169	120.0	70.0	166.5	17.0	2.9
Z010E0170	200.0	125.0	NaN	16.0	2.95
Z010E0171	135.0	70.0	182.0	18.0	2.8
Z010E0172	160.0	100.0	118.0	14.0	2.8
Z010E0173	190.0	85.0	160.5	16.0	3.7
Z010E0174	175.0	85.0	131.5	NaN	4.0
Z010E0175	120.0	65.0	147.5	16.0	7.733333333
Z010E0176	135.0	60.0	NaN	NaN	4.8
Z010E0177	185.0	85.0	140.0	14.0	3.9
Z010E0178	140.0	70.0	119.5	17.0	4.0
Z010E0179	140.0	75.0	149.0	14.0	3.7
Z010E0180	170.0	85.0	120.0	15.0	4.1
Z010E0181	155.0	90.0	158.0	16.0	3.4
Z010E0182	170.0	70.0	134.0	16.0	3.8
Z010E0183	200.0	110.0	193.0	16.0	4.45
Z010E0184	150.0	80.0	NaN	19.0	2.85
Z010E0185	145.0	60.0	136.0	16.0	4.3
Z010E0186	180.0	90.0	142.5	14.0	3.55
Z010E0187	155.0	70.0	123.0	16.0	3.8
Z010E0188	155.0	85.0	149.0	16.0	4.0
Z010E0189	135.0	60.0	113.0	12.0	3.4
Z010E0190	175.0	105.0	144.0	12.0	3.1
Z010E0191	155.0	75.0	180.5	14.0	4.85
Z010E0192	195.0	105.0	144.0	13.5	4.1
Z010E0193	150.0	65.0	167.0	14.0	3.05
Z010E0194	155.0	85.0	206.0	14.0	3.5
Z010E0195	145.0	60.0	113.0	17.0	4.6
Z010E0196	135.0	60.0	NaN	NaN	2.4
Z010E0197	185.0	60.0	184.0	16.0	4.3
Z010E0198	145.0	85.0	127.0	16.0	3.7
Z010E0199	200.0	102.5	201.0	14.0	4.9
Z010E0200	180.0	95.0	158.5	16.0	3.7
Z010E0201	168.0	75.0	150.3333333	18.0	5.15
Z010E0202	138.3333333	74.44444444	149.5454545	NaN	2.118181818
Z010E0214	NaN	NaN	NaN	NaN	NaN
Z010E0266	NaN	NaN	NaN	NaN	NaN
Z010E0267	NaN	NaN	NaN	NaN	NaN
Z010E0280	NaN	NaN	NaN	NaN	NaN
Z010E0283	NaN	NaN	NaN	NaN	NaN
Z011E0001	175.0	75.0	119.0	14.0	5.5
Z011E0002	135.0	45.0	NaN	NaN	NaN
Z011E0003	165.0	50.0	68.0	16.0	4.6
Z011E0004	150.0	75.0	NaN	14.0	3.9
Z011E0005	185.0	80.0	125.0	16.0	3.8
Z011E0006	160.0	60.0	111.0	14.0	3.7
Z011E0007	135.0	55.0	NaN	NaN	NaN
Z011E0008	180.0	80.0	143.0	20.0	6.6
Z011E0009	170.0	70.0	129.0	15.0	5.45
Z011E0010	125.0	35.0	NaN	NaN	NaN
Z011E0011	210.0	100.0	NaN	18.0	4.5
Z011E0012	165.0	65.0	133.0	15.0	4.1
Z011E0013	195.0	105.0	NaN	NaN	NaN
Z011E0014	130.0	65.0	123.0	12.0	4.6
Z011E0015	140.0	25.0	NaN	NaN	7.3
Z011E0016	155.0	65.0	NaN	NaN	NaN
Z011E0017	195.0	80.0	119.0	12.0	5.0
Z011E0018	165.0	65.0	154.0	18.0	4.1
Z011E0019	190.0	70.0	142.0	16.0	4.2
Z011E0020	145.0	50.0	NaN	NaN	NaN
Z011E0021	125.0	30.0	NaN	NaN	NaN
Z011E0022	125.0	40.0	NaN	NaN	NaN
Z011E0023	180.0	75.0	146.0	16.0	4.7
Z011E0024	165.0	70.0	127.0	16.0	4.2
Z011E0025	155.0	65.0	NaN	NaN	NaN
Z011E0026	170.0	65.0	154.0	16.0	5.4
Z011E0027	150.0	65.0	122.0	15.33333333	4.533333333
Z011E0028	120.0	25.0	139.0	13.5	3.2
Z011E0029	175.0	90.0	138.0	16.0	4.5
Z011E0030	145.0	45.0	129.0	14.0	2.8
Z011E0031	140.0	45.0	130.0	16.0	5.1
Z011E0032	NaN	47.5	NaN	NaN	NaN
Z011E0033	180.0	75.0	148.0	18.0	6.0
Z011E0034	170.0	70.0	151.0	12.0	5.7
Z011E0035	195.0	70.0	118.0	12.0	6.8
Z011E0036	NaN	NaN	NaN	NaN	NaN
Z011E0037	120.0	35.0	130.0	12.0	NaN
Z011E0038	150.0	65.0	140.0	14.0	5.2
Z011E0039	180.0	70.0	118.0	12.0	5.8
Z011E0040	195.0	105.0	208.5	13.0	6.7
Z011E0041	NaN	NaN	NaN	NaN	NaN
Z011E0042	175.0	70.0	153.0	16.0	4.3
Z011E0043	130.0	45.0	148.0	12.0	4.4
Z011E0044	175.0	75.0	106.0	16.0	5.0
Z011E0045	170.0	70.0	135.0	14.0	5.1
Z011E0046	165.0	50.0	NaN	NaN	NaN
Z011E0047	170.0	85.0	111.0	24.0	5.2
Z011E0048	185.0	75.0	195.0	18.0	4.6
Z011E0049	165.0	65.0	138.0	12.0	3.8
Z011E0050	165.0	70.0	79.0	16.0	4.5
Z011E0051	175.0	70.0	126.5	17.0	4.9
Z011E0052	145.0	55.0	117.0	12.0	5.8
Z011E0053	120.0	35.0	NaN	NaN	NaN
Z011E0054	140.0	65.0	NaN	NaN	NaN
Z011E0055	170.0	75.0	122.0	14.0	2.4
Z011E0056	90.0	35.0	102.5	13.0	5.05
Z011E0057	170.0	75.0	87.0	14.0	4.4
Z011E0058	130.0	50.0	128.0	14.0	3.35
Z011E0059	180.0	90.0	68.0	14.0	5.2
Z011E0060	165.0	50.0	117.5	14.0	5.85
Z011E0061	140.0	60.0	123.5	13.0	5.45
Z011E0062	195.0	100.0	NaN	NaN	NaN
Z011E0063	165.0	70.0	134.0	10.0	5.7
Z011E0064	185.0	60.0	NaN	NaN	4.75
Z011E0065	170.0	70.0	114.0	20.0	2.1
Z011E0066	155.0	65.0	139.0	16.0	3.7
Z011E0067	130.0	50.0	NaN	NaN	NaN
Z011E0068	NaN	NaN	NaN	NaN	NaN
Z011E0069	135.0	60.0	NaN	NaN	NaN
Z011E0070	200.0	85.0	97.0	10.0	4.0
